country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
CAN,Canada,Breen 2,10,42.9854,-80.9604,Solar,,,,,Met Fiera Solar Breen 2 LP,,Natural Resources Canada,13.83
CAN,Canada,Brenton Community Wind Project,2,43.974,-66.0826,Wind,,,,,Scotian Wind Fields,,Natural Resources Canada,
CAN,Canada,Bridge River 1,180,50.7299,-122.24,Hydro,,,,,BC Hydro,,Natural Resources Canada,403.61
CAN,Canada,Bridge River 2,298,50.7231,-122.2434,Hydro,,,,,,,Natural Resources Canada,529.89
CAN,Canada,Brighton Beach,541.3,42.2798,-83.0946,Gas,,,,,Shell Energy North America (Canada) Inc,,Natural Resources Canada,
CAN,Canada,Brilliant,140,49.3249,-117.6207,Hydro,,,,,Columbia Power (50%) / Columbia Basin Trust (50%),,Natural Resources Canada,680.21
CAN,Canada,Brilliant Expansion 1,120,49.3231,-117.6198,Hydro,,,,,Columbia Power (50%) / Columbia Basin Trust (50%),,Natural Resources Canada,583.03
CAN,Canada,Brisay,469,54.4491,-70.5121,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,1441.09
CAN,Canada,Britannia LFG,5.5,43.6067,-79.6972,Biomass,,,,,Region of Peel,,Natural Resources Canada,
CAN,Canada,Brockville 1,10,44.6329,-75.6982,Solar,,,,,TransCanada Energy Ltd,,Natural Resources Canada,14.39
CAN,Canada,Brockville 2,9,44.6301,-75.8033,Solar,,,,,TransCanada Energy Ltd,,Natural Resources Canada,12.96
CAN,Canada,Brockville Solar,10,44.5939,-75.7354,Solar,,,,,Brockville Solar Inc,,Natural Resources Canada,14.39
CAN,Canada,Brompton Biomass Cogeneration,26,45.4807,-71.9524,Biomass,,,,,Kruger Energy,,Natural Resources Canada,
CAN,Canada,Brooklyn Energy Centre,30,44.0515,-64.6956,Biomass,,,,,,,Natural Resources Canada,
CAN,Canada,Brooks,13,50.577,-111.866,Solar,,,,,,,Wiki-Solar,18.76
CAN,Canada,Brown Lake,7.2,54.0273,-129.8437,Hydro,,,,,Innergex Inc,,Natural Resources Canada,26.24
CAN,Canada,Bruce A,3220,44.3391,-81.5747,Nuclear,,,,,Bruce Power LP,,Natural Resources Canada,
CAN,Canada,Bruce B,3390,44.319,-81.6027,Nuclear,,,,,Bruce Power LP,,Natural Resources Canada,
CAN,Canada,Bryson,56,45.6611,-76.6318,Hydro,,,,,Hydro-Québec,,Natural Resources Canada,133.01
CAN,Canada,Buchans,1.8,48.822,-56.8314,Hydro,,,,,,,Natural Resources Canada,5.39
CAN,Canada,Buckingham,11.2,45.5895,-75.4223,Hydro,,,,,Fiducie Boralex Énergie/Boralex Inc,,Natural Resources Canada,52.47
CAN,Canada,Bull Creek,29.2,52.5091,-110.0831,Wind,,,,,Bluearth Renewables,,Natural Resources Canada,
CAN,Canada,Burk's Falls,1.1,45.6198,-79.4118,Hydro,,,,,Bracebridge Generation Limited,,Natural Resources Canada,4.93
CAN,Canada,Burns Bog LFG,8,49.0977,-123.0159,Biomass,,,,,VF Clean Energy,,Natural Resources Canada,
CAN,Canada,Burnside,132,44.7148,-63.61,Oil,,,,,,,Natural Resources Canada,
CAN,Canada,Burrard,950,49.2988,-122.8906,Gas,,,,,BC Hydro,,Natural Resources Canada,
CAN,Canada,Burritts Rapids,7,44.9778,-75.8198,Solar,,,,,TransCanada Energy Ltd,,Natural Resources Canada,9.77
CAN,Canada,Béarn Sawmill,7,47.2847,-79.3356,Biomass,,,,,,,Natural Resources Canada,
CAN,Canada,Bécancour,507,46.3675,-72.4037,Gas,,,,,TransCanada Energy Ltd,,Natural Resources Canada,
CAN,Canada,Bécancour (HQ),411,46.3919,-72.3523,Gas,,,,,Hydro-Québec,,Natural Resources Canada,
CAN,Canada,Bésy,18.4,48.4403,-71.2467,Hydro,,,,,Hydro Saguenay,,Natural Resources Canada,113.38
CAN,Canada,Cache Creek LFG,5,50.7873,-121.3197,Biomass,,,,,,,Natural Resources Canada,
CAN,Canada,Calabogie,5,45.3047,-76.7087,Hydro,,,,,,,Natural Resources Canada,26.36
CAN,Canada,Calgary Energy Centre,300,51.1805,-113.9373,Gas,,,,,Calpine,,Natural Resources Canada,
CAN,Canada,Calm Lake,8.8,48.7937,-92.154,Hydro,,,,,H2O Power LP,,Natural Resources Canada,38.4
CAN,Canada,Calstock,38,49.7456,-84.0736,Biomass,,,,,Atlantic Power Corp,,Natural Resources Canada,
CAN,Canada,Cameron Falls - BRP,4.2,46.2822,-82.1493,Hydro,,,,,,,Natural Resources Canada,16.51
CAN,Canada,Cameron Falls - OPG,92,49.1536,-88.3457,Hydro,,,,,,,Natural Resources Canada,434.62
CAN,Canada,Camp Three Rapids,5.5,49.2964,-82.5373,Hydro,,,,,Amik-Ctr Hydrokap LP,,Natural Resources Canada,24.56
CAN,Canada,Campbellford,2,44.3351,-77.7725,Hydro,,,,,Campbellford-Seymour Electric Generation Inc,,Natural Resources Canada,10.12
CAN,Canada,Canoe Creek Hydro,6,49.1769,-125.3956,Hydro,,,,,,,Natural Resources Canada,11.76
CAN,Canada,Cap-aux-Meules,66,47.3745,-61.8858,Oil,,,,1952,Hydro Quebec,,GEODB,
